Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply
Equihash,PoW,4235111504.0,7600000000
XEVAN,PoS,6787405.18013774,50000000
Lyra2Z,PoW,13634850.0,84000000
SHA-256,PoW,17992514.6469233,21000000
XEVAN,Pos,208515864.36734298,70000000000
X11,PoS,17209923728.3266,0
CryptoNight,PoW,1867054873.2839699,8080000000
Quark,PoW/PoS,35312185.7437239,54000000
Blake,PoW,1578281.31341127,105120001.44
Blake,PoW,15846721.248274697,25228800
Equihash,PoS,13475920.0,105000000
Exosis,PoW,406091.925,21000000
Scrypt,PoW,35284717.173946,120000000
Scrypt,PoW/PoS,14777549.394076401,21000000
Equihash,PoW,35687520.0,262800000
Quark,PoW/PoS,18265011.248600602,19035999
Equihash,PoW,25150787.5,30886000
Quark,PoS,1934701.67524713,13370000
Scrypt,PoW/PoS,30825710000.0296,74800000000
QuBit,PoW,12925790.4226959,100000000
X11,PoS,715659.44237941,19700000
Scrypt,PoW/PoS,20546528.2059957,84000000
XEVAN,PoW/PoS,198938144.363399,500000000
SHA-256D,PoW/PoS,896361168.0,5000000000
X11,PoW/PoS,15420234.5389336,420000000
SHA-256,PoW,52293836.62779579,64000000
X13,PoW,1170292.5,2100000
SHA-256,PoW,84613099.9999955,168000000
X11,PoW/PoS,23775960.3207514,30000000
DPoS,DPoS,1000000000.0,1000000000
Scrypt,PoW/PoS,15318887081.0146,35000000000
Scrypt,PoW,55565076.3863525,98100000000
X11,PoW/PoS,242574105.22384,0
NeoScrypt,PoW,3824685012.0,4000000000
Scrypt,PoW/PoS,3537150.0,200000000
Blake,PoW,23356790.1494191,7000000000
Scrypt,PoW/PoS,20576532.0,54256119
SHA-256,PoS,4392258.24647793,21000000
Scrypt,PoW/PoS,9631199.99309942,0
X11,PoW/PoS,436353624.49031204,500000000
Scrypt,PoW,780210700.0,1000000000
Scrypt,PoW/PoS,980732528.97974,10500000000
SHA-256,PoW/PoS,17939725045.334,190000000
X11,PoW/PoS,494240666.028571,1000000000
SHA-256,PoW,22986929.0854247,42000000
Scrypt,PoW/PoS,60000000.0,15000000
Scrypt,PoW,29583989322.9213,50000000000
Scrypt,PoW/PoS,404316475.545465,400000000
Groestl,PoW,73298203.8873662,105000000
X11,PoW/PoS,201364327.427503,208000000
Scrypt,PoW/PoS,103621876.167052,160000000
PoS,PoS,3821245.74150193,9000000
Scrypt,PoW,5052555.91981545,5000000
Scrypt,PoW,69684455.4387001,182000000
X11,Proof of Trust,16901016.6609755,16504333
